match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster
5223416310,4383073575,true,1580656165,2044,2356,1,7,22,27,4,185
5223416311,4383069603,true,1580656161,1787,2645,3,7,22,44,6,192
5223416312,4383102077,true,1580656163,3121,2318,5,7,22,43,7,137
5223416313,4383076522,true,1580656164,2117,2882,3,0,22,45,9,231
5223416319,4383082004,false,1580656164,2345,2772,2,7,22,29,2,251
5223416414,4383096453,false,1580656167,2955,2889,2,7,22,35,5,187
5223416511,4383078706,false,1580656171,2184,2545,2,7,22,48,4,151
5223416516,4383086333,false,1580656170,2462,2621,2,7,22,44,8,182
5223416712,4383084502,false,1580656145,2434,1867,1,7,22,47,2,151
5223416714,4383081838,false,1580656172,2208,2198,1,7,22,37,2,251
5223416715,4383098110,true,1580656174,2983,2369,1,7,22,31,5,154
5223416803,4383087976,true,1580656181,2569,1402,2,7,22,28,3,137
5223416806,4383086446,false,1580656181,2474,2899,3,0,22,41,9,227
5223416819,4383068253,false,1580656168,1723,1287,1,7,22,37,3,201
5223416919,4383080032,false,1580656176,2185,2674,1,7,22,35,6,135
5223417116,4383105065,false,1580656194,3245,2633,1,7,22,50,3,156
5223417118,4383096554,true,1580656189,2959,2268,3,0,22,34,4,182
5223417208,4383085507,true,1580656160,2472,679,1,7,22,18,6,137
5223417211,4383064316,true,1580656194,1563,2518,1,7,22,34,4,182
5223417217,4383075880,false,1580656194,2047,2663,3,0,22,32,4,227
5223417218,4383088282,false,1580656194,2540,2588,1,7,22,47,2,241
5223417300,4383097972,false,1580656193,2824,2333,2,7,22,35,4,153
5223417305,4383087389,true,1580656195,2353,591,1,7,22,28,4,155
5223417415,4383083971,false,1580656174,2378,2784,1,7,22,34,3,251
5223417416,4383108691,true,1580656202,3417,2771,3,7,22,55,5,138
5223417504,4383088924,false,1580656204,2536,1987,1,0,22,28,2,132
5223417506,4383081367,true,1580656204,2246,2307,2,7,22,42,6,134
5223417507,4383085080,false,1580656202,2412,621,1,7,22,18,2,188
5223417512,4383077140,false,1580656202,2079,1870,2,7,22,27,4,236
5223417603,4383086564,false,1580656207,2479,1997,5,7,22,31,9,227
5223417606,4383114495,false,1580656202,3655,1069,1,0,22,43,3,151
