match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster
5223862107,4383472517,false,1580677806,2296,4005,5,7,22,62,9,192
5223862112,4383466567,false,1580677820,2057,5457,3,7,22,75,6,132
5223862305,4383479350,true,1580677827,2939,5099,3,7,22,80,4,131
5223862600,4383462773,false,1580677856,1681,4127,4,7,22,59,8,137
5223862609,4383466330,false,1580677853,1590,4971,5,7,22,80,6,153
5223862703,4383472870,false,1580677855,2448,5018,1,7,22,62,5,193
5223862802,4383465092,true,1580677866,1862,4955,2,0,22,70,3,136
5223863001,4383471950,false,1580677879,2392,4686,5,7,22,72,7,122
5223863107,4383465056,false,1580677890,1886,4336,7,7,22,69,7,134
5223863211,4383468481,true,1580677888,2092,4643,1,0,22,53,2,111
5223863302,4383493311,false,1580677885,4102,4155,3,7,22,64,7,136
5223863510,4383480207,false,1580677913,3038,4018,4,7,22,69,5,251
5223863812,4383471486,false,1580677922,2269,4160,2,7,22,45,5,191
5223863902,4383477003,false,1580677929,2689,4030,6,7,22,60,8,181
5223864005,4383466202,false,1580677950,1867,4404,3,7,22,62,5,251
5223864017,4383476161,true,1580677946,2647,4415,2,7,22,72,5,183
5223864118,4383466987,false,1580677956,1761,5244,3,7,22,76,8,133
5223864207,4383469403,false,1580677960,2094,4558,1,7,22,60,6,111
5223864308,4383461430,true,1580677968,1442,4958,4,7,22,78,8,121
5223864316,4383476398,false,1580677966,2602,4497,6,7,22,80,6,187
5223864400,4383461139,true,1580677979,1461,5153,7,7,22,80,9,133
5223864419,4383478366,false,1580677967,2832,4156,4,7,22,73,6,137
5223864601,4383463260,false,1580677994,1637,4117,4,7,22,66,7,154
5223864806,4383479751,true,1580678006,2908,5117,2,0,22,62,4,133
5223864809,4383468570,true,1580678005,1957,4979,1,0,22,53,2,122
5223865008,4383483471,false,1580678016,3123,4168,4,7,22,72,6,153
5223865114,4383470651,true,1580678020,2196,5025,5,0,22,69,8,134
5223865214,4383468814,false,1580678035,1979,4500,1,7,22,34,5,132
5223865404,4383471488,true,1580678030,2123,4026,1,7,22,50,5,251
5223865511,4383471681,true,1580678048,2234,4254,2,7,22,63,8,181
5223866116,4383481029,false,1580678101,2950,4079,8,7,22,71,9,137
5223866503,4383463471,true,1580678126,1533,4163,5,7,22,57,7,186
5223866706,4383480901,false,1580678136,2825,4056,3,7,22,61,8,136
5223866718,4383473099,false,1580678142,2221,4542,2,7,22,69,6,188
5223867213,4383477480,true,1580678157,2532,4034,4,7,22,52,5,251
5223867506,4383486306,false,1580678197,3174,4913,3,7,22,69,6,121
5223867603,4383482364,true,1580678204,2889,4047,4,7,22,61,7,134
5223869105,4383477995,false,1580678299,2468,4321,4,7,22,63,10,138
5223869217,4383480467,true,1580678312,2549,4669,4,7,22,71,7,184
5223869305,4383482247,true,1580678314,2803,4259,8,7,22,73,9,182
5223869401,4383481132,true,1580678330,2671,4354,4,7,22,57,9,202
5223869503,4383469416,false,1580678340,1780,4632,5,7,22,65,5,184
5223869609,4383474660,false,1580678329,2131,5436,5,7,22,80,7,187
5223869812,4383479294,true,1580678356,2492,4550,2,7,22,62,6,155
5223869814,4383466477,false,1580678360,1469,4058,3,7,22,66,4,251
5223869907,4383478344,true,1580678366,2464,4364,6,7,22,78,8,138
5223869913,4383466546,true,1580678367,1352,4113,3,7,22,63,7,152
5223870103,4383471274,false,1580678378,1857,4385,2,7,22,58,4,187
5223870219,4383491009,true,1580678387,3375,4114,5,7,22,65,8,131
5223870600,4383471987,true,1580678411,1830,4400,1,7,22,45,3,121
5223870712,4383479289,true,1580678420,2226,5035,6,7,22,78,9,137
5223870815,4383467982,true,1580678425,1465,4046,1,7,22,69,3,251
5223871102,4383470841,true,1580678426,1686,5657,6,7,22,80,7,135
